"year"|"categ"|"year.1"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To FRANZ KRAUS, JOHANNES STEURER and WOLFGANG RIEDEL for the design and development of the ARRILASER Film Recorder. The ARRILASER film recorder demonstrates a high level of engineering resulting in a compact, user-friendly, low-maintenance device while at the same time maintaining outstanding speed, exposure ratings and image quality. [Special Photographic]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To PETER KURAN for the invention, and SEAN COUGHLIN, JOSEPH A. OLIVIER and WILLIAM CONNER for the engineering and development of the RCI-Color Film Restoration Process. This photo-chemical process restores color to faded color negative using off-the-shelf film stocks with a unique approach. The resulting film intermediate can be used to create a new internegative. [Laboratory]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To MAKOTO TSUKADA, SHOJI KANEKO and the TECHNICAL STAFF OF IMAGICA CORPORATION, and DAIJIRO FUJIE of Nikon Corporation for the engineering excellence and the impact on the motion picture industry of the Imagica 65/35 Multi-Format Optical Printer. This liquid-gate optical printer offers ease of set-up and change-over to various formats from 35mm to 65mm 15-perf with both additive and subtractive lamp houses. [Special Photographic]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To STEVEN GERLACH, GREGORY FARRELL and CHRISTIAN LURIN for the design, engineering and implementation of the Kodak Panchromatic Sound Recording Film. Allowing all four soundtrack systems to be exposed on a single negative with relative ease, this stock has allowed single inventory prints, facilitating the more economic distribution of motion pictures. [Sound]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To PAUL J. CONSTANTINE and PETER M. CONSTANTINE for the design and development of the CELCO Digital Film Recorder products. CELCO recorder products have had a significant impact on the industry through continual improvements in their technology. [Special Photographic]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To PETE ROMANO for the design and development of the Remote AquaCam, an underwater camera housing system for use in motion pictures. The Remote AquaCam brings to the industry an underwater camera housing specifically designed for remote and high-speed operation. Its hydro-dynamic shape facilitates ease of operation for surface hand-held filming, and its remote capabilities allow it to film in confined areas or in situations where an operator cannot be near the camera. [Photography]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To JORDAN KLEIN for his pioneering efforts in the development and application of underwater camera housings for motion pictures. With over 50 years of involvement in the design and development of underwater camera housings, Jordan Klein's work has had significant influence in the field of underwater photography. [Photography]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To BERNARD M. WERNER and WILLIAM GELOW for the engineering and design of filtered line arrays and screen speading compensation as applied to motion picture loudspeaker systems. Employing both tapered line array and filtered line array technologies and unique passive and active filter networks, their work with cinema loudspeakers was both innovative and dedicated specifically to cinema applications. [Sound]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To TOMLINSON HOLMAN for the research and systems integration resulting in the improvement of motion picture loudspeaker systems. For over 20 years Tomlinson Holman has been involved in the research and integration of the constant-directivity, direct radiator bass type of cinema loudspeaker systems. [Sound]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To GEOFF JACKSON and ROGER WOODBURN for their DMS 120S Camera Motor. This well-engineered camera motor features built-in time-lapse programmability and is useful in an unusually wide range of applications, including MOS production filming, high-speed photography, animation and motion control. [Camera]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To THOMAS MAJOR BARRON for the overall concept and design; CHAS SMITH for the structural engineering; and GORDON SEITZ for the mechanical engineering of the Bulldog Motion Control Camera Crane. This motion control camera crane represents an unprecedented combination of long reach, high speed, and a novel approach to its transport, which allows a very rapid setup on location. [Camera Cranes]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To JOHN R. ANDERSON, JIM HOURIHAN, CARY PHILLIPS and SEBASTIAN MARINO for the development of the ILM Creature Dynamics System. This system makes hair, clothing, skin, flesh and muscle simulation both directable and integrated within a character animation and rigging environment. [Digital Imaging Technology]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To STEVE SULLIVAN and ERIC R.L. SCHAFER for the development of the ILM Motion and Structure Recovery System (MARS). The MARS system provides analysis of camera motion and object motion, and their dimensions. It employs a rich set of user-interface tools and sophisticated algorithms. [Digital Imaging Technology]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To CARL LUDWIG and JOHN M. CONSTANTINE, JR. for their contributions to CELCO Digital Film Recorder products. CELCO recorder products have had a significant impact on the industry through continual improvements in their technology. [Special Photographic]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To BILL SPITZAK, PAUL VAN CAMP, JONATHAN EGSTAD and PRICE PETHEL for their pioneering effort on the NUKE-2D Compositing Software. The Nuke-2D compositing software allows for the creation of complex interactive digital composites using relatively modest computing hardware. [Digital Imaging Technology]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To DR. LANCE J. WILLIAMS for his pioneering influence in the field of computer-generated animation and effects for motion pictures. The ongoing influence of Lance Williams is exemplified in his three seminal papers \"Casting Shadows on Curved Surfaces,\" \"Pyramidal Parametrics\" and \"View Interpolation for Image Synthesis.\" [Digital Imaging Technology]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To DR. UWE SASSENBERG and ROLF SCHNEIDER for the development of \"3D Equalizer,\" an advanced and robust camera and object match-moving system. This dominant commercial tracking system provides \"survey-free\" tracking, which significantly reduces the need for painstaking, error-prone measurements on sets. [Digital Imaging Technology]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To DR. GARLAND STERN for the concept and implementation of the Cel Paint Software System. All current cel painting applications in the motion picture industry can be traced back to the original idea and pioneering implementation of Garland Stern. [Digital Imaging Technology]"
"2001 (74th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To MIC RODGERS and MATT SWEENEY for the concept, design and realization of the \"Mic Rig.\" This self-contained, low bed picture car carrier and camera platform enables the safe, economic and realistic filming of action sequences that may involve principal actors and dialogue. [Stage Operations]"
"2001 (74th)"|"AWARD OF COMMENDATION"|"To Rune Ericson for his pioneering development and 30 years of dedication to the Super 16mm format for motion pictures. The Super 16mm film format has achieved a significant impact on the worldwide film industry by playing a major role in empowering low budget films to be produced for theatrical release."
"2001 (74th)"|"AWARD OF COMMENDATION"|"To the American Society of Cinematographers (ASC) for the continued publication of the \"American Cinematographer Manual.\" Born from \"The Cinematographic Annual,\" first published by the ASC in 1930, the \"American Cinematographer Manual\" has become an essential bible for cinematographers. Currently in its eighth edition, this premier reference manual has had a significant impact on decades of motion picture photography around the world."
"2001 (74th)"|"JOHN A. BONNER MEDAL OF COMMENDATION"|"To Ray Feeney in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences."
"2002 (75th)"|"ACTOR IN A LEADING ROLE"|"Adrien Brody -- The Pianist  {\"Wladyslaw Szpilman\"}"
"2002 (75th)"|"ACTOR IN A SUPPORTING ROLE"|"Chris Cooper -- Adaptation  {\"John Laroche\"}"
"2002 (75th)"|"ACTRESS IN A LEADING ROLE"|"Nicole Kidman -- The Hours  {\"Virginia Woolf\"}"
"2002 (75th)"|"ACTRESS IN A SUPPORTING ROLE"|"Catherine Zeta-Jones -- Chicago  {\"Velma Kelly\"}"
"2002 (75th)"|"ANIMATED FEATURE FILM"|"Spirited Away --  Hayao Miyazaki"
"2002 (75th)"|"ART DIRECTION"|"Chicago  -- Art Direction: John Myhre; Set Decoration: Gordon Sim"
"2002 (75th)"|"CINEMATOGRAPHY"|"Road to Perdition  -- Conrad L. Hall"
"2002 (75th)"|"COSTUME DESIGN"|"Chicago  -- Colleen Atwood"
"2002 (75th)"|"DIRECTING"|"The Pianist  -- Roman Polanski"
"2002 (75th)"|"DOCUMENTARY (Feature)"|"Bowling for Columbine  -- Michael Moore, Michael Donovan"
"2002 (75th)"|"DOCUMENTARY (Short Subject)"|"Twin Towers  -- Bill Guttentag, Robert David Port"
"2002 (75th)"|"FILM EDITING"|"Chicago  -- Martin Walsh"
"2002 (75th)"|"FOREIGN LANGUAGE FILM"|"Nowhere in Africa  -- Germany"
"2002 (75th)"|"MAKEUP"|"Frida --  John Jackson, Beatrice De Alba"
"2002 (75th)"|"MUSIC (Original Score)"|"Frida --  Elliot Goldenthal"
"2002 (75th)"|"MUSIC (Original Song)"|"\"Lose Yourself\" from 8 Mile  -- Music by Eminem, Jeff Bass and Luis Resto; Lyric by Eminem"
"2002 (75th)"|"BEST PICTURE"|"Chicago  -- Martin Richards, Producer"
"2002 (75th)"|"SHORT FILM (Animated)"|"The ChubbChubbs! --  Eric Armstrong"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"SOUND"|"Chicago --  Michael Minkler, Dominick Tavella, David Lee"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"SOUND EDITING"|"The Lord of the Rings: The Two Towers  -- Ethan Van der Ryn, Michael Hopkins"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"VISUAL EFFECTS"|"The Lord of the Rings: The Two Towers  -- Jim Rygiel, Joe Letteri, Randall William Cook, Alex Funke"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"WRITING (Adapted Screenplay)"|"The Pianist  -- Screenplay by Ronald Harwood"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"WRITING (Original Screenplay)"|"Talk to Her  -- Written by Pedro Almodóvar"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"HONORARY AWARD"|"To Peter O'Toole, whose remarkable talents have provided cinema history with some of its most memorable characters."
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit)"|"To ALIAS/WAVEFRONT for the development of a 3D animation, dynamics, modeling and rendering production tool known as Maya. With its significant and dominant impact on the motion picture industry, the Maya software package offers a robust and widely used commercial visual effects tool with a rich infrastructure for extension and customization. [Digital Imaging Technology]"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit)"|"To ARNOLD & RICHTER CINE TECHNIK and PANAVISION INC., for their continuing development and innovation in the design and manufacturing of advanced camera systems specifically designed for the motion picture entertainment industry. With a commitment that lies beyond the usual commercial considerations, these two manufacturers continue to lead the industry in developing and introducing products that have defined the state of the art in motion picture camera technology. [Camera]"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To GLENN SANDERS and HOWARD STARK of Zaxcom for the concept, design and engineering of the portable Deva Digital Audio Disk Recorder. This innovative design employs advanced hard disk recording technology and digital audio techniques for use in both production and post-production recording applications. [Sound]"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To MARK ELENDT, PAUL H. BRESLIN, GREG HERMANOVIC and KIM DAVIDSON for their continued development of the procedural modeling and animation components of their Prisms program, as exemplified in the Houdini software package. Through a procedural building-block process, the Houdini software is used to simulate natural phenomena using particle effects and complex three-dimensional models. [Digital Imaging Technology]"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To DR. LESLIE GUTIERREZ, DIANE E. KESTNER, JAMES MERRILL and DAVID NIKLEWICZ for the design and development of the Kodak Vision Premier Color Print Film, 2393. This film stock provides filmmakers with enhanced color saturation, higher contrast and darker blacks, producing a bold, colorful 'look' on the theater screen. [Film]"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To DEDO WEIGERT for the concept, DR. DEPU JIN for the optical calculations, and FRANZ PETTERS for the mechanical construction of the Dedolight 400D. This uniquely designed set light provides superior performance, reliability and ease of use. Combined with its excellent array of accessories, the Dedolight 400D is an outstanding engineering achievement. [Lighting]"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To DICK WALSH for the development of the PDI/DreamWorks Facial Animation System. This effective software simulation system is used to create and control natural, expressive, highly-nuanced facial animation on a wide range of computer-generated characters. [Digital Imaging Technology]"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To THOMAS DRIEMEYER and to the TEAM OF MATHEMATICIANS, PHYSICISTS AND SOFTWARE ENGINEERS OF MENTAL IMAGES for their contributions to the Mental Ray rendering software for motion pictures. Mental Ray is a highly programmable computer-graphics renderer incorporating ray tracing and global illumination to realistically simulate the behavior of light in computer-generated imagery. [Digital Imaging Technology]"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To ERIC DANIELS, GEORGE KATANICS, TASSO LAPPAS and CHRIS SPRINGFIELD for the development of the Deep Canvas rendering software. The Deep Canvas software program captures the orginal brush strokes of the traditional background artist to render elements in three dimensions for animated films. [Digital Imaging Technology]"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To JIM SONGER for his contributions to the technical development of video-assist in the motion picture industry. The work of Jim Songer from 1968 through 1973 led directly to the more widespread acceptance of video-assist in the motion picture industry. [Systems]"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To PIERRE CHABERT of Airstar for the introduction of balloons with internal light sources to provide set lighting for the motion picture industry. These helium-filled balloons with internal arrangements for tungsten halogen and HMI light sources, are usable indoors or out, quick to set up, require essentially no rigging and provide a soft light that can cover a very large area. [Lighting]"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To RAWDON HAYNE and ROBERT W. JEFFS of Leelium Tubelites for their contributions to the development of internally lit balloons for motion picture lighting. These helium-filled balloons with internal arrangements for tungsten halogen and HMI light sources, are usable indoors or out, quick to set up, require essentially no rigging and provide a soft light that can cover a very large area. [Lighting]"
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"JOHN A. BONNER MEDAL OF COMMENDATION"|"To Curt R. Behlmer in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences."
"This Charming Man (Der Er En Yndig Mand) --  Martin Strange-Hansen, Mie Andreasen"|"JOHN A. BONNER MEDAL OF COMMENDATION"|"To Richard B. Glickman in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences."
"2003 (76th)"|"ACTOR IN A LEADING ROLE"|"Sean Penn -- Mystic River  {\"Jimmy Markum\"}"
"2003 (76th)"|"ACTOR IN A SUPPORTING ROLE"|"Tim Robbins -- Mystic River  {\"Dave Boyle\"}"
"2003 (76th)"|"ACTRESS IN A LEADING ROLE"|"Charlize Theron -- Monster  {\"Aileen Wuornos\"}"
"2003 (76th)"|"ACTRESS IN A SUPPORTING ROLE"|"Renée Zellweger -- Cold Mountain  {\"Ruby Thewes\"}"
"2003 (76th)"|"ANIMATED FEATURE FILM"|"Finding Nemo --  Andrew Stanton"
"2003 (76th)"|"ART DIRECTION"|"The Lord of the Rings: The Return of the King  -- Art Direction: Grant Major; Set Decoration: Dan Hennah and Alan Lee"
"2003 (76th)"|"CINEMATOGRAPHY"|"Master and Commander: The Far Side of the World  -- Russell Boyd"
"2003 (76th)"|"COSTUME DESIGN"|"The Lord of the Rings: The Return of the King  -- Ngila Dickson and Richard Taylor"
"2003 (76th)"|"DIRECTING"|"The Lord of the Rings: The Return of the King  -- Peter Jackson"
"2003 (76th)"|"DOCUMENTARY (Feature)"|"The Fog of War  -- Errol Morris and Michael Williams"
"2003 (76th)"|"DOCUMENTARY (Short Subject)"|"Chernobyl Heart  -- Maryann DeLeo"
"2003 (76th)"|"FILM EDITING"|"The Lord of the Rings: The Return of the King  -- Jamie Selkirk"
"2003 (76th)"|"FOREIGN LANGUAGE FILM"|"The Barbarian Invasions  -- Canada"
"2003 (76th)"|"MAKEUP"|"The Lord of the Rings: The Return of the King --  Richard Taylor and Peter King"
"2003 (76th)"|"MUSIC (Original Score)"|"The Lord of the Rings: The Return of the King --  Howard Shore"
"2003 (76th)"|"MUSIC (Original Song)"|"\"Into The West\" from The Lord of the Rings: The Return of the King  -- Music and Lyric by Fran Walsh and Howard Shore and Annie Lennox"
"2003 (76th)"|"BEST PICTURE"|"The Lord of the Rings: The Return of the King  -- Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers"
"2003 (76th)"|"SHORT FILM (Animated)"|"Harvie Krumpet --  Adam Elliot"
"2003 (76th)"|"SHORT FILM (Live Action)"|"Two Soldiers --  Aaron Schneider and Andrew J. Sacks"
"2003 (76th)"|"SOUND EDITING"|"Master and Commander: The Far Side of the World  -- Richard King"
"2003 (76th)"|"SOUND MIXING"|"The Lord of the Rings: The Return of the King  -- Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek"
"2003 (76th)"|"VISUAL EFFECTS"|"The Lord of the Rings: The Return of the King  -- Jim Rygiel, Joe Letteri, Randall William Cook and Alex Funke"
"2003 (76th)"|"WRITING (Adapted Screenplay)"|"The Lord of the Rings: The Return of the King  -- Screenplay by Fran Walsh, Philippa Boyens & Peter Jackson"
"2003 (76th)"|"WRITING (Original Screenplay)"|"Lost in Translation  -- Written by Sofia Coppola"
"2003 (76th)"|"HONORARY AWARD"|"To Blake Edwards in recognition of his writing, directing and producing an extraordinary body of work for the screen."
"2003 (76th)"|"GORDON E. SAWYER AWARD"|"Peter D. Parks"
"2003 (76th)"|"SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit)"|"To DIGIDESIGN for the design, development and implementation of the Pro Tools® digital audio workstation. The efficient algorithms, extensible architecture and intuitive interface have enabled Pro Tools to become the worldwide standard for the creation and editing of motion picture soundtracks. [Sound]"
"2003 (76th)"|"SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit)"|"To BILL TONDREAU of Kuper Controls for his significant advancements in the field of motion control technology for motion picture visual effects. Measuring his valuable contributions to the invention and implementation of robotic camera systems in decades rather than years, his efforts have aided motion control in becoming a core technology that has supported the renaissance of visual effects. [Systems]"
"2003 (76th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To KINOTON GmbH for the engineering and development of the Kinoton FP 30/38 EC II Studio Projector. This high-speed studio projector produces an image quality equal to projectors with Geneva movements. With its unparalleled shuttle speed, reversibility and acceleration, this projector has set a new standard for post-production viewing as well as in traditional screening facilities. [Projection]"
"2003 (76th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To KENNETH L. TINGLER, CHARLES C. ANDERSON, DIANE E. KESTNER and BRIAN A. SCHELL of the Eastman Kodak Company for the successful development of a process-surviving antistatic layer technology for motion picture film. This technology successfully controls the static charge buildup on processed intermediate and sound negative films during high speed printing operations. [Laboratory]"
"2003 (76th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To CHRISTOPHER ALFRED, ANDREW J. CANNON, MICHAEL C. CARLOS, MARK CRABTREE, CHUCK GRINDSTAFF and JOHN MELANSON for their significant contributions to the evolution of digital audio editing for motion picture post production. Through their respective pioneering efforts with AMS AudioFile, Waveframe and Fairlight, the work of these gentlemen contributed significantly to the development and realization of digital audio workstations with full editing capabilities for motion picture soundtracks. [Digital Imaging Technology]"
"2003 (76th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To STEPHEN REGELOUS for the design and development of Massive, the autonomous agent animation system used for the battle sequences in \"The Lord of the Rings\" trilogy. Massive takes a new approach in simulating behaviors of large numbers of computer-generated extras a.k.a. \"agents.\" Each \"agent\" contains a primitive software \"brain\" used to develop behavioral rules simulating a wide range of behaviors. In \"The Lord of the Rings\" trilogy, over 200,000 agents were controlled in several scenes. [Digital Imaging Technology]"
"2003 (76th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To KISH SADHVANI for the concept and optical design, PAUL DUCLOS for the practical realization and production engineering and CARL PERNICONE for the mechanical design and engineering of the portable cine viewfinder system known as the Ultimate Director's Finder (UDF). This versatile, modular and widely accepted cine viewfinder system is capable of properly displaying images in multiple formats ranging from 35mm anamorphic to super 16. [Photography]"
"2003 (76th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To HENRIK WANN JENSEN, STEPHEN R. MARSCHNER and PAT HANRAHAN for their pioneering research in simulating subsurface scattering of light in translucent materials as presented in their paper \"A Practical Model for Subsurface Light Transport.\" This mathematical model contributed substantially to the development and implementation of practical techniques for simulating subsurface scattering of light in translucent materials for computer-generated images in motion pictures. [Digital Imaging Technology]"
"2003 (76th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To CHRISTOPHE HERY, KEN McGAUGH and JOE LETTERI for their groundbreaking implementations of practical methods for rendering skin and other translucent materials using subsurface scattering techniques. These groundbreaking techniques were used to create realistic-looking skin on digitally created characters. [Digital Imaging Technology]"
"2003 (76th)"|"JOHN A. BONNER MEDAL OF COMMENDATION"|"To Douglas Greenfield in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences."
"2004 (77th)"|"ACTOR IN A LEADING ROLE"|"Jamie Foxx -- Ray  {\"Ray Charles\"}"
"2004 (77th)"|"ACTOR IN A SUPPORTING ROLE"|"Morgan Freeman -- Million Dollar Baby  {\"Eddie Scrap-Iron Dupris\"}"
"2004 (77th)"|"ACTRESS IN A LEADING ROLE"|"Hilary Swank -- Million Dollar Baby  {\"Maggie Fitzgerald\"}"
"2004 (77th)"|"ACTRESS IN A SUPPORTING ROLE"|"Cate Blanchett -- The Aviator  {\"Katharine Hepburn\"}"
"2004 (77th)"|"ANIMATED FEATURE FILM"|"The Incredibles --  Brad Bird"
"2004 (77th)"|"ART DIRECTION"|"The Aviator  -- Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo"
"2004 (77th)"|"CINEMATOGRAPHY"|"The Aviator  -- Robert Richardson"
"2004 (77th)"|"COSTUME DESIGN"|"The Aviator  -- Sandy Powell"
"2004 (77th)"|"DIRECTING"|"Million Dollar Baby  -- Clint Eastwood"
"2004 (77th)"|"DOCUMENTARY (Feature)"|"Born into Brothels  -- Ross Kauffman and Zana Briski"
"2004 (77th)"|"DOCUMENTARY (Short Subject)"|"Mighty Times: The Children's March  -- Robert Hudson and Bobby Houston"
"2004 (77th)"|"FILM EDITING"|"The Aviator  -- Thelma Schoonmaker"
"2004 (77th)"|"FOREIGN LANGUAGE FILM"|"The Sea Inside  -- Spain"
"2004 (77th)"|"MAKEUP"|"Lemony Snicket's A Series of Unfortunate Events --  Valli O'Reilly and Bill Corso"
"2004 (77th)"|"MUSIC (Original Score)"|"Finding Neverland --  Jan A.P. Kaczmarek"
"2004 (77th)"|"MUSIC (Original Song)"|"\"Al Otro Lado Del Río\" from The Motorcycle Diaries  -- Music and Lyric by Jorge Drexler"
"2004 (77th)"|"BEST PICTURE"|"Million Dollar Baby  -- Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers"
"2004 (77th)"|"SHORT FILM (Animated)"|"Ryan --  Chris Landreth"
"2004 (77th)"|"SHORT FILM (Live Action)"|"Wasp --  Andrea Arnold"
"2004 (77th)"|"SOUND EDITING"|"The Incredibles  -- Michael Silvers and Randy Thom"
"2004 (77th)"|"SOUND MIXING"|"Ray  -- Scott Millan, Greg Orloff, Bob Beemer and Steve Cantamessa"
"2004 (77th)"|"VISUAL EFFECTS"|"Spider-Man 2  -- John Dykstra, Scott Stokdyk, Anthony LaMolinara and John Frazier"
"2004 (77th)"|"WRITING (Adapted Screenplay)"|"Sideways  -- Screenplay by Alexander Payne & Jim Taylor"
"2004 (77th)"|"WRITING (Original Screenplay)"|"Eternal Sunshine of the Spotless Mind  -- Screenplay by Charlie Kaufman; Story by Charlie Kaufman & Michel Gondry & Pierre Bismuth"
"2004 (77th)"|"JEAN HERSHOLT HUMANITARIAN AWARD"|"Roger Mayer"
"2004 (77th)"|"HONORARY AWARD"|"To Sidney Lumet in recognition of his brilliant services to screenwriters, performers and the art of the motion picture."
"2004 (77th)"|"GORDON E. SAWYER AWARD"|"Takuo Miyagishima"
"2004 (77th)"|"SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit)"|"To HORST BURBULLA for the invention and continuing development of the Technocrane telescoping camera crane. With its electronically driven leveling head, adjustable moveable weight carriage, and lightweight, extremely precise telescoping beam elements that allow camera movement during shots, the Technocrane has redefined the state-of-the-art in camera crane technology. [Camera Cranes]"
"2004 (77th)"|"SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit)"|"To JEAN-MARIE LAVALOU, ALAIN MASSERON and DAVID SAMUELSON for the engineering and development of the Louma Camera Crane and remote system for motion picture production. The Louma pioneered a remotely-operated camera head combined with a lightweight and portable modular crane. Its design has proved to be the inspiration for numerous subsequent remote camera systems. [Camera Cranes]"
"2004 (77th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To GYULA MESTER (electronic systems design) and KEITH EDWARDS (mechanical engineering) for their significant contributions to and continuing development of the Technocrane telescoping camera crane. With its electronically driven leveling head, adjustable moveable weight carriage, and lightweight, extremely precise telescoping beam elements that allow camera movement during shots, the Technocrane has redefined the state-of-the-art in camera crane technology. [Camera Cranes]"
"2004 (77th)"|"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)"|"To LINDSAY ARNOLD, GUY GRIFFITHS, DAVID HODSON, CHARLIE LAWRENCE and DAVID MANN for their development of the Cineon Digital Film Workstation. Cineon pioneered a commercial node-graph compositing system establishing a new visual method for direct manipulation of the compositing process, which influenced and defined modern digital compositing workflows. [Digital Imaging Technology]"
"2004 (77th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To GREG CANNOM and WESLEY WOFFORD for the development of their special modified silicone material for makeup appliances used in motion pictures. This proprietary modified silicone makeup system allows for the creation of either partial or full-face appliances for motion picture makeup effects that move like real flesh, have translucency similar to skin and will accept standard makeup materials. [Systems]"
"2004 (77th)"|"SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award)"|"To JERRY COTTS for the original concept and design and ANTHONY SEAMAN for the engineering of the Satellight-X HMI Softlight. With its large radiating surface and thin profile, this collapsible, self-contained HMI softlight provides a diffuse light to simulate daylight in location interiors, where space is often limited. [Lighting]"
